movieCd,movieNm,movieNmEn,openDt,repGenreNm,repNationNm,directors
20242424,핑크퐁 원더스타 특별편: 호기와 도둑자동차,Pinkfong & Hogi Mini-Movie : The Tricky Three Cars,20240718,애니메이션,한국,무명
20248553,최소한의 선의,"My Best, Your Least",20241030,드라마,한국,김현정
20232137,"결혼, 하겠나?",Can we get married?,20241023,코미디,한국,김진태
20248364,폭설,Heavy Snow,20241023,드라마,한국,윤수익
20236228,오후 네시,4 PM,20241023,드라마,한국,송정우
20244003,어프렌티스,The Apprentice,20241023,드라마,캐나다,알리 아바시
20240941,베놈: 라스트 댄스,Venom: The Last Dance,20241023,액션,미국,켈리 마르셀
20244945,마이펫의 컴백홈 어드벤처 ,Gracie and Pedro: Pets to the Rescue,20241023,애니메이션,미국,케빈 도노반
20244513,룸 넥스트 도어,The Room Next Door,20241023,드라마,미국,페드로 알모도바르
20233217,더 킬러스,The Killers,20241023,드라마,한국,김종관
20227527,공작새,Peafowl,20241023,드라마,한국,변성빈
20232283,개그맨,Helpless,20241023,코미디,한국,전승표
20234710,한 채,The Berefts,20241120,드라마,한국,정범
20241180,"괜찮아, 앨리스","Efterskole, Going to the Wonderland Korea",20241113,다큐멘터리,한국,양지혜
20242248,글래디에이터 Ⅱ,GladiatorⅡ,20241113,액션,미국,리들리 스콧
20185249,더러운 돈에 손대지 마라,DIRTY MONEY,20241017,범죄,한국,김민수
20245781,극장판 오버로드 성왕국,OVERLORD: The Sacred Kingdom,20241114,애니메이션,일본,이토 나오유키
20241101,호랑님의 생일날,,20241004,기타,한국,이광범
20236696,하우치,Hauchi,20241113,멜로/로맨스,한국,김명균
20236566,언니 유정,Sister Yoojung,20241204,가족,한국,정해일
20232671,"줄리엣, 네이키드","Juliet, Naked",20240925,멜로/로맨스,미국,무명
20240983,명탐정 코난: 100만 달러의 펜타그램,Detective Conan the Movie: The Million-dollar Pentagram,20240717,애니메이션,일본,나가오카 치카
20244941,트라페지움,Trapezium,20241114,애니메이션,일본,무명
20244903,저니 투 베들레헴,Journey to Bethlehem,20241120,가족,미국,무명
20244912,아노라,Anora,20241106,드라마,미국,션 베이커
20235815,아가미,The Way Fish Breathe,20241127,가족,한국,유승원
20247574,아메바 소녀들과 학교괴담: 개교기념일,Idiot Girls and School Ghost: School Anniversary,20241106,공포(호러),한국,김민하
20200142,소방관,FIREFIGHTERS,20241204,드라마,한국,곽경택
20245399,4분 44초,,20241101,공포(호러),한국,박종균
20245610,프리다. 삶이여 영원하라,FRIDA. VIVA LA VIDA,20241106,다큐멘터리,이탈리아,무명
20233781,미망,MIMANG,20241120,멜로/로맨스,한국,김태양
20112341,동경의 황혼,Tokyo Twilight,20241009,드라마,일본,오즈 야스지로
20244364,할머니가 죽기 전 백만장자가 되는 법,How to Make Millions before Grandma dies,20241009,드라마,태국,팟 부니티팻
20242495,브레드이발소: 빵스타의 탄생,Bread Barbershop: Bakery Stars,20240914,애니메이션,한국,정지환
20245078,레드 원,RED ONE,20241106,액션,미국,제이크 캐스단
20244587,리틀 엠마,Little Emma,20241025,애니메이션,미국,레오 루이스 랴오
20243824,오지: 사라진 숲을 찾아서,Ozi: Voice of the Forest,20240913,애니메이션,미국,무명
20244257,호두까기 인형과 마술피리,The Nutcracker and the Magic Flute,20241030,애니메이션,러시아,무명
20244281,극장판 고래와 나,WHALES AND I,20241030,다큐멘터리,한국,무명
20227979,보통의 가족,A Normal Family,20241016,드라마,한국,허진호
20190353,사흘,Devils Stay,20241114,공포(호러),한국,현문섭
20242021,쥬라기캅스 극장판: 전설의 고대생물을 찾아라,,20240815,애니메이션,한국,이재민
20242375,롱레그스,Longlegs,20241030,공포(호러),미국,무명
20232949,대도시의 사랑법,Love in the Big City,20241001,드라마,한국,이언희
20245141,컬트 시카리오,Cult Killer,20241017,미스터리,미국,존 키스
20245064,즙 잘 뽑아내주는 온천 여사장,RYOKOUDAIRGYOUSYA,20241018,멜로/로맨스,일본,무명
20244838,음란한 이웃집 육덕녀,,20241018,성인물(에로),한국,무명
20245058,시아버지와 같은 침대에 누워있는 며느리,OXTUTONIHAIENAITUMA-01,20241018,멜로/로맨스,일본,무명
20245065,새엄마 구멍을 꽉 채워준 의붓아들,SEIKOUNOKAIRAKU-02,20241018,멜로/로맨스,일본,무명
20244839,무능한 남편에게 지친 아줌마,,20241018,성인물(에로),한국,무명
20245142,키타로 탄생 게게게의 수수께끼: 트루 에디션,The Brith of Kitaro: The Mystery of GeGeGe TruBorn Edition,20241019,애니메이션,일본,무명
20240774,4월이 되면 그녀는,"April, come she will",20241113,멜로/로맨스,일본,무명
20235557,클로즈 유어 아이즈,Close Your Eyes,20241106,드라마,스페인,빅토르 에리세
20247693,위키드,Wicked,20241120,판타지,미국,존 추
20233218,6시간 후 너는 죽는다,You Will Die In 6 Hours,20241016,스릴러,한국,이윤석
20225826,양치기,A Good Boy,20240612,드라마,한국,손경원
20249507,극장판 하이큐!! 쓰레기장의 결전,Haikyu!!: The Dumpster Battle,20240515,애니메이션,일본,미츠나카 스스무
20228535,페이퍼맨,Paper Man,20241016,드라마,한국,기모태
20244921,위아래 거침없이 삽입한 대물,,20241017,성인물(에로),한국,무명
20245502,여타짜들 Ⅲ,,20241017,드라마,한국,무명
20245262,여선배는 내 즙 짜낼 궁리만 한다,GYAKU SEKUHARA-01,20241017,성인물(에로),일본,무명
